"name","type","borough","address","city","zip","lat","lon","license_no"
"BAH PROFESSIONAL AFRICAN HAIR BRAIDING","salon","Bronx","833 Westchester Ave","Bronx","10455","40.81948","-73.90198","AEB-20-01161"
"BALAYAGE BEAUTY SALON LLC","salon","Bronx","2424 E Tremont Ave","Bronx","10461","40.84257","-73.85251","AEB-22-01735"
"Barahona Beauty Salon Corp","salon","Bronx","235 Brook Ave","Bronx","10454","40.80782","-73.91907","AEB-24-00660"
"BARBER SHOP LA RAZA","barber","Bronx","2255 Grand Concourse","Bronx","10453","40.85649","-73.9007","BSO-19-00194"
"BARBERIA TETEO INC.","salon","Bronx","2624 Jerome Ave","Bronx","10468","40.86701","-73.89779","AEB-24-02664"
"BARCUTS Inc","barber","Bronx","1320 Fulton Ave Apt E3","Bronx","10456","40.83284","-73.90301","BSO-24-00329"
"Bare Beauty Studio LLC","salon","Bronx","3120 Bainbridge Ave","Bronx","10467","40.87423","-73.87933","AEB-26-01023"
"Bare Natural Beauty","barber","Bronx","975 E 233rd St","Bronx","10466","40.89075","-73.84902","BSO-23-00112"
"BareIvory LLC","salon","Bronx","1500 Boston Rd Ste 5","Bronx","10460","40.8353","-73.89372","AEB-22-00616"
"BATISTA BARBERSHOP UNISEX #1","barber","Bronx","1023 Longwood Ave","Bronx","10459","40.81651","-73.89654","BSO-22-00118"
"BAY NAILS & SPA INC","salon","Bronx","200 Baychester Ave","Bronx","10475","40.86458","-73.82724","AEB-21-00521"
"BBB BY BD LLC","salon","Bronx","450 W 238th St","Bronx","10463","40.88728","-73.90505","AEB-21-01961"
"BE GLAMAROUS ENTERPRIZE LLC","salon","Bronx","4032 White Plains Rd","Bronx","10466","40.88952","-73.85954","AEB-24-01765"
"BEAUTIFUL BROWS INC","salon","Bronx","815 E Tremont Ave","Bronx","10460","40.84347","-73.88719","AEB-24-00906"
"Beautiful Brows Salon","salon","Bronx","49 Hugh J Grant Cir","Bronx","10462","40.83342","-73.86045","AEB-24-00667"
"BEAUTIFUL BROWS THREADING SALON & SPA INC","salon","Bronx","200B W 231st St","Bronx","10463","40.87902","-73.90502","AEB-24-00910"
"Beautiful Eyebrow Threading Salon Inc","salon","Bronx","178 E 161st St","Bronx","10451","40.82658","-73.92213","AEB-24-02009"
"BEAUTIFUL HAIR STYLE, CORP.","barber","Bronx","1718 Southern Blvd","Bronx","10460","40.83722","-73.88782","BSO-20-00044"
"BEAUTIFUL NAILS & SPA","salon","Bronx","1003 Southern Blvd","Bronx","10459","40.82293","-73.89178","AEB-24-00911"
"BEAUTY & BARBERSHOP ANDRES","barber","Bronx","27B E 175th St","Bronx","10453","40.84742","-73.91173","BSO-21-00173"
"Beauty bar by Libby corp","salon","Bronx","2530 Boston Rd","Bronx","10467","40.86396","-73.86449","AEB-20-01502"
"Beauty by Victoria LLC","salon","Bronx","6001B Riverdale Ave","Bronx","10471","40.9086","-73.90366","AEB-24-00234"
"BEAUTY ESCAPE LLC","salon","Bronx","1408 Crosby Ave","Bronx","10461","40.84091","-73.82974","AEB-26-00847"
"BEAUTY ESTHETIC CORP","salon","Bronx","55 WEST 181 STREET","BRONX","10453","40.85654","-73.90769","AEB-23-01202"
"BEAUTY LUXE SPA INC","salon","Bronx","25 W Fordham Rd","Bronx","10468","40.86271","-73.90239","AEB-25-03237"
"BEAUTYDEALERLUX, LLC","salon","Bronx","1371 Prospect Ave","Bronx","10459","40.83068","-73.89704","AEB-25-02442"
"BEFORE BEAUTY SPA LLC","salon","Bronx","3033 Webster Ave","Bronx","10467","40.8697","-73.87943","AEB-23-00480"
"Bella Chique Esthetics","salon","Bronx","924 Throggmorton Ave","Bronx","10465","40.83263","-73.82067","AEB-22-02045"
"Bella Female Salon & Boutique,INC","salon","Bronx","1797 Westchester Ave","Bronx","10472","40.83188","-73.86649","AEB-25-00147"
"BELLAGRIS SALON & SPA INC","salon","Bronx","1444 Williamsbridge Rd","Bronx","10461","40.84323","-73.84506","AEB-24-00912"
"BELLANGEL BEAUTY ROOM","salon","Bronx","953 E 167th St","Bronx","10459","40.8268","-73.89222","AEB-23-01788"
